Date,R_Beirut,R_north,R_Bekaa,R_South,Total Registered,Registered,Awaiting,Total Refugees,A_Beirut & Mt. Leb.,A_North,A_Bekaa,A_South,Total Awaiting,AWP_Beirut & Mt. Leb.,AWP_North,AWP_Bekaa,AWP_South,P_Beirut,P_El Meten,P_Baabda,P_Kesrwane,P_Chouf,P_Aley,P_Jbeil,P_Akkar,P_Tripoli,P_El Minieh-Dennie,P_El Koura,P_El Batroun,P_Zgharta,P_Bcharre,P_Zahle,P_Baalbek,P_West Bekaa,P_Rachaya,P_El Hermel,P_Sour,P_Saida,P_Marjaayoun,P_Jezzine,P_El Nabatieh,P_Hasbaya,P_Bent Jbeil,Total2,H_Beirut,H_El Meten,H_Baabda,H_Kesrwane,H_Chouf,H_Aley,H_Jbeil,H_Akkar,H_Tripoli,H_El Minieh-Dennie,H_El Koura,H_El Batroun,H_Zgharta,H_Bcharre,H_Zahle,H_Baalbek,H_West Bekaa,H_Rachaya,H_El Hermel,H_Sour,H_Saida,H_Marjaayoun,H_Jezzine,H_El Nabatieh,H_Hasbaya,H_Bent Jbeil,Total Household,F_0-4,F_5-11,F_12-17,F_18-59,F_60+,total female,M_0-4,M_5-11,M_12-17,M_18-59,M_60+,Total male,Homs,Aleppo,Idleb,Rural Damascus,Hama,Dar'a,Damascus,Ar-raqqa,Al-hasakeh,Deir-ez-zor,Quneitra,Lattakia,Tartous,As-sweida,"Others, n/a",Total 3
4/7/2013,"4,632","3,733","4,827","2,403","15,595","503,724","84,071","587,795","30,649","14,535","27,883","11,004","84,071",38,21,28,29,"11,095","13,392","26,629","1,978","22,862","15,473",713,"68,351","47,608","36,091","9,983","7,639","7,627","1,037","78,378","50,307","31,679","6,207","3,898","15,585","26,382","2,031","1,147","12,737","1,239","3,656","503,724","2,979","3,580","6,120",539,"4,894","3,475",200,"16,610","12,266","8,652","2,471","1,763","1,831",241,"16,022","10,752","6,648","1,311",831,"3,392","5,621",419,248,"2,716",291,771,"114,643","48,553","50,056","31,222","119,970","7,090","256,891","50,834","52,288","33,322","104,754","5,635","246,833","145,156","81,864","80,384","58,596","37,768","32,158","22,139","13,048","7,673","5,855","2,002","1,246",728,154,"14,953","503,724"
11/7/2013,"3,116",3132,4583,2330,"13,161","517,195",87759,"604,954",33464,16562,27282,10451,"87,759",39,24,30,21,11497,"13,983","27,650","2,050","23,329","16,111",726,69716,48335,36693,10137,7876,7698,1036,80561,51682,32447,6473,3960,16309,27247,2112,1206,13251,1344,3766,"517,195",3074,3734,6356,558,5000,3621,206,16955,12480,8790,2518,1819,1854,244,16464,11030,6803,1369,839,3562,5822,435,259,2829,310,798,"117,729","49,837","51,431","32,080","123,205","7,293","263,846","52,158","53,746","34,179","107,494","5,772","253,349","148,229","84,130","82,205","60,399","38,853","33,203","22,717","13,716","7,851","6,123","2,061","1,311",785,154,"15,458","517,195"
5/9/2013,"5,626","3,643","4,158","2,089","15,516","622,249","103,823","726,072","41,100","14,471","42,752","5,500","103,823",43,21,42,13,"14,903","20,254","36,360","2,739","28,363","21,794",813,"78,048","53,415","41,453","11,510","10,286","8,863","1,376","98,191","61,709","38,662","7,441","4,264","20,548","31,797","3,177","1,384","17,484","2,705","4,710","622,249","3,943","5,403","8,347",759,"6,112","4,899",239,"19,082","13,930","9,972","2,864","2,360","2,138",322,"19,968","13,109","8,055","1,559",887,"4,578","6,859",661,306,"3,766",634,"1,011","141,763","59,852","61,808","38,463","148,326","8,724","317,173","62,708","65,080","40,896","129,479","6,913","305,076","167,881","106,013","95,998","74,080","46,118","41,141","28,742","19,184","10,236","9,941","2,395","1,741","1,356",188,"17,235","622,249"
12/9/2013,"4,744","3,051","4,098","2,170","14,063","636,000","103,823","739,823","41,100","14,471","42,752","5,500","103,823",43,21,42,13,"15,419","21,255","37,555","2,960","29,289","22,671",859,"79,181","53,937","42,099","11,749","10,506","9,032","1,396","100,071","62,817","39,447","7,612","4,306","21,091","32,457","3,379","1,432","18,023","2,706","4,751","636,000","4,101","5,695","8,645",814,"6,324","5,116",251,"19,351","14,048","10,109","2,921","2,406","2,173",327,"20,352","13,333","8,214","1,590",898,"4,715","7,029",704,318,"3,894",632,"1,019","144,979","61,221","63,099","39,229","151,737","8,947","324,233","64,169","66,527","41,686","132,315","7,070","311,767","170,022","109,165","97,713","75,818","47,007","42,237","29,458","19,833","10,624","10,483","2,429","1,822","1,393",199,"17,797","636,000"
19/9/2013,"4,396","3,478","3,793","2,529","14,196","650,376","104,833","755,209","44,154","13,612","42,795","4,272","104,833",42,22,39,12,"15,911","22,118","38,845","3,106","30,004","23,544",881,"80,368","54,795","42,869","11,958","10,836","9,202","1,430","101,953","63,868","40,163","7,711","4,365","21,685","33,308","3,576","1,508","18,663","2,833","4,876","650,376","4,226","5,921","8,912",851,"6,466","5,292",256,"19,624","14,308","10,292","2,966","2,479","2,212",336,"20,745","13,560","8,364","1,611",912,"4,851","7,215",748,330,"4,029",669,"1,048","148,223","62,802","64,506","40,012","155,207","9,187","331,714","65,835","67,930","42,496","135,144","7,257","318,662","172,689","111,733","99,536","77,285","47,776","43,207","30,286","20,302","11,336","10,811","2,513","1,869","1,498",218,"19,317","650,376"
26/9/2013,"5,600","3,176","4,466","1,586","14,828","665,200","102,975","768,175","43,880","13,501","41,863","3,731","102,975",41,22,38,10,"16,486","23,475","40,333","3,427","30,664","24,634",925,"81,838","55,497","43,516","12,124","11,011","9,260","1,466","104,224","65,045","40,891","7,893","4,392","22,053","33,957","3,773","1,577","18,954","2,853","4,932","665,200","4,391","6,304","9,276",937,"6,622","5,561",269,"19,966","14,478","10,450","3,004","2,524","2,230",343,"21,220","13,800","8,512","1,652",923,"4,946","7,367",795,348,"4,097",674,"1,059","151,748","64,264","66,015","40,867","158,873","9,422","339,441","67,439","69,538","43,332","138,010","7,440","325,759","175,384","114,362","101,054","78,778","48,603","43,989","31,161","20,832","12,192","11,029","2,591","1,943","1,611",231,"21,440","665,200"
3/10/2013,"4,477","2,569","4,321","1,901","13,268","678,140","100,898","779,038","43,550","13,150","40,795","3,403","100,898",42,23,36,8,"16,853","24,534","41,435","3,627","31,251","25,598",960,"82,552","56,118","44,115","12,238","11,267","9,428","1,482","106,249","66,260","41,627","8,067","4,476","22,454","34,674","3,991","1,615","19,374","2,862","5,033","678,140","4,511","6,613","9,577",997,"6,766","5,780",279,"20,130","14,653","10,591","3,029","2,583","2,267",348,"21,651","14,048","8,672","1,685",943,"5,035","7,522",850,356,"4,179",676,"1,080","154,821","65,561","67,334","41,602","162,117","9,619","346,233","68,799","70,882","44,057","140,575","7,594","331,907","177,332","116,612","102,444","80,195","49,319","44,511","31,972","21,297","12,952","11,238","2,625","1,989","1,649",236,"23,769","678,140"
10/10/2013,"4,386","2,197","4,759","2,295","13,637","691,906","98,048","789,954","44,839","13,590","37,515","2,104","98,048",45,25,36,7,"17,375","25,682","42,445","3,820","31,804","26,436","1,070","83,491","56,673","44,541","12,353","11,430","9,559","1,495","108,632","67,664","42,341","8,258","4,556","22,877","35,462","4,286","1,729","19,843","2,917","5,167","691,906","4,671","6,955","9,843","1,056","6,906","5,998",308,"20,339","14,794","10,709","3,061","2,626","2,296",352,"22,142","14,345","8,817","1,724",959,"5,139","7,715",911,383,"4,282",690,"1,110","158,131","66,973","68,689","42,417","165,531","9,831","353,441","70,282","72,346","44,827","143,239","7,771","338,465","179,450","118,936","103,945","81,736","50,234","45,384","32,832","21,876","13,698","11,464","2,668","2,026","1,734",249,"25,674","691,906"
17/10/2013,"2,735","1,754","2,940","1,134","8,563","700,353","93,337","793,690","43,735","11,944","37,431",227,"93,337",42,25,35,6,"17,692","26,261","42,938","4,064","32,021","26,973","1,117","84,124","56,899","44,875","12,495","11,637","9,571","1,501","110,383","68,556","42,988","8,345","4,578","23,146","35,981","4,304","1,745","20,017","2,914","5,228","700,353","4,761","7,114","9,975","1,121","6,970","6,129",321,"20,502","14,868","10,781","3,095","2,670","2,304",353,"22,528","14,540","8,966","1,743",963,"5,203","7,847",911,388,"4,331",687,"1,121","160,192","67,792","69,574","42,877","167,661","9,961","357,865","71,211","73,224","45,295","144,883","7,875","342,488","181,447","121,279","105,174","83,977","51,044","46,482","33,728","22,628","14,240","11,671","1,812","2,699","2,072",249,"21,851","700,353"
31/10/2013,"4,145","2,527","3,589","1,374","11,635","725,258","87,010","812,268","43,880","14,029","28,369",732,"87,010",45,23,34,4,"18,682","28,554","45,230","4,410","33,112","28,740","1,340","85,974","57,986","45,792","12,804","12,140","9,951","1,592","114,304","70,666","44,528","8,582","4,687","23,696","36,986","4,438","1,798","20,630","3,232","5,404","725,258","5,062","7,827","10,576","1,232","7,234","6,607",382,"20,950","15,181","11,010","3,171","2,803","2,389",372,"23,378","14,973","9,287","1,796",987,"5,347","8,080",933,400,"4,473",766,"1,163","166,379","70,502","71,992","44,262","173,764","10,368","370,888","74,018","75,792","46,579","149,820","8,161","354,370","185,730","126,523","107,998","87,549","52,722","47,982","35,506","23,684","15,655","11,999","2,049","2,865","2,156",264,"22,576","725,258"
